FIPStxt,Stabr,area_name,Median_Household_Income_2018
00000,US,United States,"61,937"
01000,AL,Alabama,"49,881"
01001,AL,"Autauga County, AL","59,338"
01003,AL,"Baldwin County, AL","57,588"
01005,AL,"Barbour County, AL","34,382"
01007,AL,"Bibb County, AL","46,064"
01009,AL,"Blount County, AL","50,412"
01011,AL,"Bullock County, AL","29,267"
01013,AL,"Butler County, AL","37,365"
01015,AL,"Calhoun County, AL","45,400"
01017,AL,"Chambers County, AL","39,917"
01019,AL,"Cherokee County, AL","42,132"
01021,AL,"Chilton County, AL","47,547"
01023,AL,"Choctaw County, AL","39,907"
01025,AL,"Clarke County, AL","40,741"
01027,AL,"Clay County, AL","39,201"
01029,AL,"Cleburne County, AL","46,495"
01031,AL,"Coffee County, AL","55,122"
01033,AL,"Colbert County, AL","49,055"
01035,AL,"Conecuh County, AL","32,613"
01037,AL,"Coosa County, AL","42,423"
01039,AL,"Covington County, AL","40,203"
01041,AL,"Crenshaw County, AL","39,057"
01043,AL,"Cullman County, AL","45,796"
01045,AL,"Dale County, AL","45,309"
01047,AL,"Dallas County, AL","34,035"
01049,AL,"DeKalb County, AL","39,491"
01051,AL,"Elmore County, AL","60,367"
01053,AL,"Escambia County, AL","38,418"
01055,AL,"Etowah County, AL","44,903"
01057,AL,"Fayette County, AL","39,254"
01059,AL,"Franklin County, AL","39,388"
01061,AL,"Geneva County, AL","37,823"
01063,AL,"Greene County, AL","28,524"
01065,AL,"Hale County, AL","34,724"
01067,AL,"Henry County, AL","46,027"
01069,AL,"Houston County, AL","47,993"
01071,AL,"Jackson County, AL","41,929"
01073,AL,"Jefferson County, AL","55,013"
01075,AL,"Lamar County, AL","40,936"
01077,AL,"Lauderdale County, AL","48,707"
01079,AL,"Lawrence County, AL","43,909"
01081,AL,"Lee County, AL","48,937"
01083,AL,"Limestone County, AL","64,863"
01085,AL,"Lowndes County, AL","33,973"
01087,AL,"Macon County, AL","32,495"
01089,AL,"Madison County, AL","63,755"
01091,AL,"Marengo County, AL","37,733"
01093,AL,"Marion County, AL","37,887"
01095,AL,"Marshall County, AL","46,233"
01097,AL,"Mobile County, AL","43,598"
01099,AL,"Monroe County, AL","39,556"
01101,AL,"Montgomery County, AL","49,640"
01103,AL,"Morgan County, AL","52,797"
01105,AL,"Perry County, AL","26,814"
01107,AL,"Pickens County, AL","37,586"
01109,AL,"Pike County, AL","37,259"
01111,AL,"Randolph County, AL","40,546"
01113,AL,"Russell County, AL","39,104"
01115,AL,"St. Clair County, AL","57,284"
01117,AL,"Shelby County, AL","75,663"
01119,AL,"Sumter County, AL","27,859"
01121,AL,"Talladega County, AL","41,630"
01123,AL,"Tallapoosa County, AL","42,205"
01125,AL,"Tuscaloosa County, AL","52,557"
01127,AL,"Walker County, AL","45,434"
01129,AL,"Washington County, AL","44,424"
01131,AL,"Wilcox County, AL","25,385"
01133,AL,"Winston County, AL","41,156"
02000,AK,Alaska,"74,912"
02013,AK,"Aleutians East Borough, AK","70,081"
02016,AK,"Aleutians West Census Area, AK","82,633"
02020,AK,"Anchorage Borough/municipality, AK","82,113"
02050,AK,"Bethel Census Area, AK","44,304"
02060,AK,"Bristol Bay Borough, AK","77,257"
02068,AK,"Denali Borough, AK","75,477"
02070,AK,"Dillingham Census Area, AK","54,524"
02090,AK,"Fairbanks North Star Borough, AK","74,268"
02100,AK,"Haines Borough, AK","58,943"
02105,AK,"Hoonah-Angoon Census Area, AK","51,188"
02110,AK,"Juneau Borough/city, AK","79,173"
02122,AK,"Kenai Peninsula Borough, AK","65,439"
02130,AK,"Ketchikan Gateway Borough, AK","68,309"
02150,AK,"Kodiak Island Borough, AK","74,109"
02158,AK,"Kusilvak Census Area, AK","32,728"
02164,AK,"Lake and Peninsula Borough, AK","49,403"
02170,AK,"Matanuska-Susitna Borough, AK","74,649"
02180,AK,"Nome Census Area, AK","55,318"
02185,AK,"North Slope Borough, AK","89,276"
02188,AK,"Northwest Arctic Borough, AK","59,337"
02195,AK,"Petersburg Borough, AK","66,075"
02198,AK,"Prince of Wales-Hyder Census Area, AK","49,356"
02201,AK,"Prince of Wales-Outer Ketchikan Census Area, AK",
02220,AK,"Sitka Borough/city, AK","71,825"
02230,AK,"Skagway Municipality, AK","74,635"
02232,AK,"Skagway-Hoonah-Angoon Census Area, AK",
02240,AK,"Southeast Fairbanks Census Area, AK","63,527"
02261,AK,"Valdez-Cordova Census Area, AK","68,528"
02275,AK,"Wrangell Borough/city, AK","57,832"
02280,AK,"Wrangell-Petersburg Census Area, AK",
02282,AK,"Yakutat Borough/city, AK","59,523"
02290,AK,"Yukon-Koyukuk Census Area, AK","38,912"
04000,AZ,Arizona,"59,079"
04001,AZ,"Apache County, AZ","33,652"
04003,AZ,"Cochise County, AZ","49,164"
04005,AZ,"Coconino County, AZ","60,187"
04007,AZ,"Gila County, AZ","43,585"
04009,AZ,"Graham County, AZ","50,157"
04011,AZ,"Greenlee County, AZ","65,818"
04012,AZ,"La Paz County, AZ","37,350"
04013,AZ,"Maricopa County, AZ","65,234"
04015,AZ,"Mohave County, AZ","45,129"
04017,AZ,"Navajo County, AZ","40,650"
04019,AZ,"Pima County, AZ","53,395"
04021,AZ,"Pinal County, AZ","58,848"
04023,AZ,"Santa Cruz County, AZ","40,545"
04025,AZ,"Yavapai County, AZ","48,758"
04027,AZ,"Yuma County, AZ","44,116"
05000,AR,Arkansas,"47,094"
05001,AR,"Arkansas County, AR","43,887"
05003,AR,"Ashley County, AR","41,127"
05005,AR,"Baxter County, AR","39,686"
05007,AR,"Benton County, AR","68,978"
05009,AR,"Boone County, AR","44,482"
05011,AR,"Bradley County, AR","37,729"
05013,AR,"Calhoun County, AR","44,969"
05015,AR,"Carroll County, AR","45,023"
05017,AR,"Chicot County, AR","31,787"
05019,AR,"Clark County, AR","45,408"
05021,AR,"Clay County, AR","37,687"
05023,AR,"Cleburne County, AR","44,902"
05025,AR,"Cleveland County, AR","47,600"
05027,AR,"Columbia County, AR","40,909"
05029,AR,"Conway County, AR","44,565"
05031,AR,"Craighead County, AR","45,615"
05033,AR,"Crawford County, AR","47,363"
